Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,volume_ratio,obv,obv_slope,rsi_norm,macd_hist_norm,atr_norm_norm,vol_20d_norm,obv_norm,price_vs_ema20_norm,ema20_vs_ema50_norm
2010-05-03,43.83585698988436,45.65045761368855,43.08147316649811,44.79412841796875,635353,0.0253257157626261,0,0.0230622272918131,normal,-0.0132269885693272,-0.0310107597511534,-0.0086498041886848,0.019580651909925,42.61288386106649,-0.3587595897477281,0.0336795132380546,0.1,3113787,-63717.72727272709,-1.0111881150136748,-2.316700486661872,-0.6228336180086375,1.4129700068082227,0.9352773191115962,-0.9397061644732491,0.3976486177689109
2010-05-04,43.83586149161466,45.201908269381725,43.83586149161466,44.2844123840332,736423,-0.0113790814094973,0,0.0144449313648663,normal,-0.0348246202221445,-0.0305308353996714,-0.0180666127825307,0.017674881031729,38.2615799939633,-0.3438514853538785,0.0344679098461819,0.1,2377364,-140834.52727272728,-1.3201769723307104,-2.122036357429682,-0.4807690157940834,-1.1065438021937264,0.6703893120353657,-1.2865900820228702,0.2596445884971809
2010-05-05,43.04069789697336,44.24363580471097,42.12320203108013,43.50963973999024,1530531,-0.0174953804811534,0,0.0141911545629228,normal,-0.0415230801706767,-0.0525498099540909,-0.031996562140231,0.0149829776800922,25.62654764294946,-0.368950798665274,0.0365614365975201,0.1,846833,-205696.38787878785,-2.201405638289908,-2.1500276324566157,-0.11027910148464705,-1.179270976225468,0.15094425849375065,-1.7905962174599863,0.07219414551873021
2010-05-06,43.63196772098885,44.42713029097346,43.326134755622135,43.93779754638672,267438,0.0098405275004598,0,0.0144938829913895,normal,0.0071298099329426,-0.0402535830411799,-0.0203744151855929,0.0131217007852373,29.843932923592572,-0.3402011142600086,0.0357157083358258,0.1,1114271,-235078.6424242423,-1.8280233602326386,-1.9019074211882379,-0.25577533902197264,-1.0905533979698154,0.22700704988946868,-1.2990988115958149,-0.06302520716018511
2010-05-07,43.6319694507381,43.99896588375855,43.12224886824246,43.713523864746094,214679,-0.0051043451006812,0,0.014471425564686,normal,0.0005909642199457,-0.0438793445682478,-0.0230137342203377,0.0111724301233178,32.463336678860244,-0.3200682934901214,0.0344760574313684,0.1,899592,-258740.4363636365,-1.6310675094337839,-1.7309712443407943,-0.46010843213708424,-1.0817990809343758,0.1422268924812787,-1.4075137995370075,-0.20636541406547423
2010-05-10,44.4067508801925,44.6514173161054,43.693145675396,44.01936340332031,363173,0.0069964512474565,0,0.0145112242217224,normal,-0.0172961288010605,-0.0302943416724426,-0.0146600953414798,0.0098198196321348,38.01767472296489,-0.2718316639861579,0.032197497928273,0.1,1262765,-240266.63030303025,-1.2246289907970724,-1.4430884311066907,-0.8387153861275215,-1.0553541008714236,0.24929112714500387,-1.088454025018659,-0.3138890931877716
2010-05-11,44.01935579409261,44.34557660559574,43.26497193372424,43.693138122558594,124983,-0.0074109495353835,0,0.0145584489147429,normal,-0.0133517468030759,-0.047711397513501,-0.0199123924377805,0.0081962321557282,34.091152809175895,-0.2482260962580217,0.033041799328287,0.1,1137782,-197671.2909090908,-1.5006214744117639,-1.297052495418266,-0.6715107256241823,-1.0273252130573438,0.18974034670402642,-1.2996481726007478,-0.44250505890833586
2010-05-12,43.346526381338485,44.44751879368919,42.59213943513045,44.182464599609375,853989,0.0111991607395702,0,0.0148008291966345,normal,0.0154638113218099,-0.0267013739261264,-0.0080920507985809,0.00737031372281,39.13541840633093,-0.1886838783443287,0.0341971263547182,0.1,1991771,-132438.88484848483,-1.154499610011698,-0.9894259767276196,-0.45589885730153423,-0.9486082927518321,0.45474138395064373,-0.8642665899955249,-0.523118939928626
2010-05-13,44.32519071750753,45.22229563325404,44.264024116437405,44.83491134643555,394665,0.014767097144507,0,0.0142177569619109,normal,0.0204178145047373,0.027693199574345,0.0059275113557604,0.0074471652343046,44.43296054119107,-0.0988985624908826,0.0338345794411238,0.1,2386436,-83920.52727272728,-0.7655750160777364,-0.5371667365842215,-0.5045297541251956,-1.093544364548505,0.5654926879250511,-0.3142523565728664,-0.5449060652875513
2010-05-14,44.81451689799173,45.487346317424695,44.44752046010511,45.2834587097168,166713,0.0100044217733668,0,0.0144842549857163,normal,0.0359141681148431,0.0365263563231339,0.0144462584567259,0.0080502217075388,49.31161771845176,-0.007651125857872,0.0339216500164072,0.1,2553149,7128.230303030312,-0.40779986901031073,-0.0819957279473118,-0.4784568290232447,-1.0032581033068193,0.5985891538804584,0.014526456778425465,-0.5317310410389229
