Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,volume_ratio,obv,obv_slope,rsi_norm,macd_hist_norm,atr_norm_norm,vol_20d_norm,obv_norm,price_vs_ema20_norm,ema20_vs_ema50_norm
2010-05-03,230.8599729710496,233.58185407546,227.94690233287025,229.4944763183593,2338320,-0.0074804475928178,0,0.0166771549306235,normal,-0.0149265950792671,0.087293940334183,0.033376821201009,0.043727427853349,67.13812451614024,0.9586678248987166,0.0258316021855718,0.1,61089690,2303951.8181818174,0.7066558339743866,0.9781954164589769,-0.828080000395288,-0.34904277736059486,1.7267411908015409,0.33017901919816584,1.4871070521892382
2010-05-04,229.785818284063,235.02932141640648,226.53594286225385,227.4826812744141,8337075,-0.0087662024647355,0,0.0169094630316494,normal,-0.0212290729460262,0.0526116421210585,0.021951188816478,0.0433171576985407,69.48869227751678,0.5238192558355577,0.0271862563306773,0.1,52752615,513527.3030303021,0.9014320859020049,0.3999451714183002,-0.6195230738974526,-0.2747951927054189,1.1734349888647428,-0.20119251273661973,1.399196440800516
2010-05-05,221.50181544187788,227.8741344514985,221.4653944116846,225.99884033203125,6726505,-0.0065228743307842,0,0.0170089262244386,normal,-0.0102064403883856,0.0031518115211968,0.0138093004408608,0.0424132758837501,69.82945143547427,0.0825154654289761,0.0276093145231845,0.1,46026110,-131920.54545454495,0.9053905848554445,-0.17758026317633427,-0.5355563908586369,-0.22736894396910648,0.7487546662027129,-0.5568203917036073,1.265997958624917
2010-05-06,222.84909422196645,228.0925972553406,222.12082643913743,224.66064453125,4212245,-0.0059212507410003,0,0.0169192923755628,normal,-0.0315124704438619,0.0073472357947022,0.0070575790058782,0.0411243612653315,67.69388053668294,-0.3305937954976965,0.0280342555508484,0.1,41813865,-1754699.2121212117,0.6746949373046764,-0.7092624234009275,-0.44844185405940057,-0.22121408025238215,0.4792444474948513,-0.8607626088869548,1.1004044403493203
2010-05-07,219.4262384293591,222.12082504170817,215.2387230129044,216.8682098388672,9055115,-0.0346853571467382,0,0.0188231384877759,normal,-0.0620866261633858,-0.0362084156600692,-0.0252851622880408,0.0378679603643659,55.81947976257235,-1.1155163591276098,0.0299980282359947,0.1,32758750,-3433657.4545454527,-0.507903941273976,-1.6803728063563648,-0.11784642191169845,0.2556244581382878,-0.08691731448468693,-2.2695149925000977,0.7412772835511138
2010-05-10,218.8436324922829,229.2032068249137,218.8436324922829,227.4826812744141,7993775,0.0489443401752309,0,0.0211221364137088,normal,-0.0087662024647355,-0.0235619479894287,0.0202429939347184,0.0375964803963788,60.262943977584186,-0.9151091252389724,0.0304305361940244,0.1,40752525,-3319310.181818183,-0.11070499212921511,-1.41091208992747,-0.003623785529783492,0.8458799668216606,0.3771937330064283,-0.2793462084148524,0.6880176960072034
2010-05-11,227.4007321490897,232.84450873066592,226.5359203038917,229.2851104736328,9079200,0.0079233688873414,0,0.0210526540442358,normal,0.0079233688873414,-0.0134739098347724,0.0255600138357539,0.037669746783133,54.16112176664011,-0.6679001718148259,0.0284699099214055,0.1,49831725,-2842837.878787876,-0.8007862578842561,-1.0948171135081868,-0.30515469517100186,0.8623385033858678,0.9128371161009537,-0.055572329025392594,0.6716320163914098
2010-05-12,224.1781479927987,236.3219763069957,224.1781479927987,234.8472442626953,9068370,0.0242585913126798,0,0.0209828030390874,normal,0.0391524306835566,0.0285463833453389,0.0454168057752346,0.0389870258565823,61.52207966449045,-0.1628580659554845,0.0303318199770237,0.1,58900095,-2132416.7575757555,-0.042023924056746716,-0.4733185543359954,0.0703639208810435,0.882609919420325,1.4348649676504455,0.8328301824679636,0.7958420424839401
2010-05-13,235.7758070794825,240.32746358680845,235.4116801151177,238.7890014648437,9973175,0.0167843451368721,0,0.0208656014061549,normal,0.0628875474076566,0.0293933349848241,0.0566273569623556,0.0409553237077273,62.92942601105743,0.3742762612538097,0.0304683295029949,0.1,68873270,-35152.39393939623,0.08718017991841445,0.18992367993165493,0.13958686897206143,0.8933522449205652,1.968707004739652,1.3162774027770958,1.0062733679150375
2010-05-14,238.1426455322824,239.0165556984397,233.04478529767505,235.91232299804688,18998125,-0.012046947091993,0,0.0212462424201122,normal,0.0878142221643709,0.0202755072176372,0.039552081269971,0.0417673083043157,53.05119419338904,0.4673782154800605,0.029831066963575,0.1,49875145,656551.2727272736,-1.080372293899386,0.28927124173549196,0.058180110295867817,1.0277271220663606,0.7702947079260649,0.4869079300622918,1.0983352565821993
2010-05-17,231.2241152453217,232.51678382903967,224.03250461871525,229.8040008544922,16886290,-0.0258923402810342,0,0.0224051695887886,normal,0.0102043793710953,0.0013487232507658,0.0114185093016512,0.040778976283039,47.56901772551014,0.0699875231370867,0.0327433087927315,0.1,32988855,435573.72727272566,-1.6988145755278241,-0.24053229531003179,0.7413416031323802,1.3650101494732325,-0.33918786201606926,-0.8993181453840098,0.9782176681044121
2010-05-18,229.8040191914,231.1695160439327,226.90915864094333,228.4385223388672,16597995,-0.0059419266442171,0,0.0220359570048483,normal,-0.0036922944233789,0.0042018190532053,0.0048910976306519,0.039423419587679,50.107079190744535,-0.3114848964394925,0.032546216830931,0.1,16390860,-905937.818181816,-1.3529458873209395,-0.7309248712350955,0.7609001468296391,1.3104516842924268,-1.4380283889196186,-1.1852253384440588,0.7935601489091769
2010-05-19,226.30833466718093,226.4903981232709,217.26873891604987,219.3989105224609,11986965,-0.0395713110199376,0,0.0219398167718854,normal,-0.0657803492169327,-0.0292033790964321,-0.0316575947103027,0.035842206599888,38.85749942995874,-1.1520179584421024,0.0356980083605819,0.1,4403895,-2908968.9393939385,-2.457399266885555,-1.741880529332793,1.536569490840034,1.3528262362963426,-2.1055264884918823,-2.7291175890257766,0.22963231181166732
2010-05-20,221.7803927287471,225.8261463390841,217.41282689628315,222.1389923095703,11543770,0.0124890400803923,0,0.0220340741079817,normal,-0.0697268678755488,-0.011224272177003,-0.0177337384539608,0.0332809975953998,42.222540946988765,-1.481840997388748,0.0366223235753673,0.1,15947665,-4058644.515151512,-1.9837098388901875,-2.045998488713433,1.7640612972895766,1.447716863483701,-1.3496518733397562,-1.9831853386495029,-0.24599735941871975
2010-05-21,217.1369896861804,224.9066710788063,215.70259128454703,223.5550231933593,8823435,0.0063745264578116,0,0.0219869184155226,normal,-0.0523809000210213,0.0308335341517338,-0.0103910135323679,0.031285478887473,44.88800168102541,-1.5553914393198889,0.0375307324934793,0.1,24771100,-5017186.454545452,-1.639944267240848,-2.033449626524055,1.9310106303681855,1.498498493115116,-0.7827666505353711,-1.5917126185787867,-0.6743629558659335
2010-05-24,223.55502952977443,228.03292974927825,218.89322056206515,220.37359619140625,5085955,-0.0142310691860469,0,0.0205257068361013,normal,-0.0410367296827747,-0.0312511046695115,-0.0221950645458212,0.0286378081534066,44.00207731858024,-1.7543135166191388,0.0382820373794061,0.1,19685145,-5623405.787878786,-1.657821073240178,-2.1553428592531683,2.0370473459166223,1.1019702786391714,-1.0939329071526205,-1.99862756136067,-1.2610054825284311
2010-05-25,218.4334642691356,218.6541463362101,212.40162807176705,214.038314819336,7723085,-0.0287479148208287,0,0.0213430020177842,normal,-0.0630375620192895,-0.0664971032039613,-0.0457330776519834,0.0246381738001659,40.67250274108911,-2.21866146467626,0.0399368188009126,0.1,11962060,-5790242.121212121,-1.9070778462420588,-2.517914307240607,2.299497897679935,1.4198049638445522,-1.5675362154746784,-2.747793975561993,-2.1150278974329444
2010-05-26,215.1600751003052,219.2058144900849,211.4913149226992,212.7510223388672,14306915,-0.0060143086136488,0,0.0211078400201808,normal,-0.0303004612363977,-0.0940876355317661,-0.0467996241308328,0.0207401768213266,40.70482017101025,-2.4978236833284773,0.04076356449495,0.1,-2344855,-5673871.3939393945,-1.8147517687624535,-2.622388817843137,2.3496875622250273,1.344083793498165,-2.332292403968038,-2.579003918535785,-2.8552875112206393
2010-05-27,212.769427788325,224.72276674340543,210.95803607040293,223.5826110839844,13507560,0.0509120408731329,0,0.0240325795905636,normal,0.0064987184798348,-0.0636812846805178,0.0015647562698406,0.0200080925191887,55.00308688647425,-1.867189196305231,0.0401761596343772,0.1,11162705,-3413483.303030304,-0.43940573781707576,-1.8668634598374405,2.1199397465792384,2.2027166525554693,-1.482817801163578,-0.7467784672656186,-2.8750169631370484
2010-05-28,225.27449631116747,227.6651700473938,221.74366675665712,225.3388671875,7747100,0.0078550657182185,0,0.024119949038811,normal,0.0079794404467388,-0.0448194298465468,0.0085261577336075,0.0197395079147986,48.15963834352908,-1.2742814874229322,0.0378300649517589,0.1,18909805,-1297545.787878788,-1.0781470618018127,-1.2137892390681604,1.595012024611361,2.137568573791259,-0.9978083809788029,-0.45962814788800443,-2.746981491499545
2010-05-31,223.5825669651556,227.66509340137253,222.53435185560787,226.6260681152344,4662770,0.0057122898672572,0,0.0241141947045524,normal,0.028372146354582,-0.0138288834286657,0.0129089054878164,0.0197550305455862,47.69696698972364,-0.7631310542728157,0.037243959320227,0.1,23572575,322309.424242424,-1.096266049658723,-0.648466890768677,1.4369553558165065,2.0380399387727914,-0.7143151050506262,-0.26571596432912786,-2.565956868593077
2010-06-01,227.11341630695463,227.6651144283087,216.44735551606004,217.31167602539065,8930410,-0.0411002677993229,0,0.0257371188169698,normal,0.0152933422635923,-0.0487082747671204,-0.0260577796626504,0.0173459505098605,35.73912730548773,-1.0048494170810365,0.0385359148690356,0.1,14642165,462655.0909090911,-2.191753910431424,-0.8817910356083188,1.6402289978115587,2.370089484678743,-1.2144844366481078,-1.7192541360130746,-2.749892030135506
2010-06-02,219.75755338019687,221.9551283527881,214.8842659175949,220.8885192871093,6537050,0.0164595079617384,0,0.0260345372702267,normal,0.0382489205399954,0.0067894993694415,-0.0090808733162722,0.0160897187384623,35.35543887769538,-0.8808013007624849,0.0384262687795309,0.1,21179215,181632.4242424238,-2.105662165701787,-0.7197451129106708,1.5884004672372745,2.305637859977211,-0.8626992942063727,-1.0443027957406525,-2.7274535374853937
2010-06-03,222.69988569780725,229.5041021049375,222.69988569780725,228.4558868408203,7414595,0.0342587635524642,0,0.0271468518310225,normal,0.0217963093516488,0.0284366759098593,0.0224453683612932,0.0168469386105973,44.33463281687112,-0.2773271865838864,0.0379800471614053,0.1,28593810,871289.6666666662,-1.2067545161302462,-0.04008752149081902,1.4771688830885137,2.4320186102933143,-0.4350947770354463,0.1621678663682143,-2.4435347604122644
2010-06-04,228.0329181624372,231.34307903819223,228.0329181624372,229.03515625,7272295,0.0025355853910795,0,0.0258006536447002,normal,0.0164032468461128,0.0245135760241932,0.022599417606397,0.0175834144609927,49.36225235654127,0.1496747314126333,0.0352113932875858,0.1,35866105,2392559.939393939,-0.699603321604144,0.43590383043040426,0.9926607281495207,1.980212951020687,-0.025827437054168595,0.16623085932740042,-2.20836470449083
2010-06-07,224.0975329857252,225.27447606478503,219.94144484576915,223.3987274169922,7122970,-0.0246094482842426,0,0.0241004077337946,normal,-0.0142408184772512,0.0137272852912853,-0.002322358422969,0.0167377493693665,46.096152318707375,0.0466706697472337,0.0376451855037737,0.1,28743135,3051756.0,-0.9812449193086712,0.32491160586905454,1.4488056362264488,1.5013091022040956,-0.4468991217214006,-0.7613695426698802,-2.1930074798089576
2010-06-08,223.3251563729333,228.5110659592092,223.3251563729333,225.49514770507807,8407510,0.0093842087299482,0,0.0241298895795272,normal,0.0376577633993824,0.0535270187275229,0.0063653073882758,0.0164669384632076,55.291332329781866,0.1102547647363204,0.0353997283595958,0.1,37150645,3544877.363636364,-0.08849468248925182,0.40099433570317505,1.0212402596773953,1.4543706211666172,0.04637206879657213,-0.41086957015618913,-2.105920848032577
2010-06-09,225.25605097190297,230.58908144724427,225.25605097190297,227.96853637695312,7812710,0.0109687002006355,0,0.0235874500407484,normal,0.0320524448834811,0.0715273368409372,0.0157202629782455,0.0167897458729588,55.083385647008186,0.2987258543159516,0.034050516172102,0.1,44963355,3205036.0303030307,-0.09555323182710056,0.6131418431965967,0.7675194016047692,1.2808834225870507,0.48799085575962353,-0.039046001195776406,-1.9602192948030652
2010-06-10,227.9685328587889,229.8718787493613,224.40093084117973,229.50408935546875,6817990,0.0067358110155013,0,0.0232888684256006,normal,0.0045882053167611,0.026484520610863,0.0203694353661372,0.0173894280316513,55.17681844182657,0.4950623870492714,0.0326608300449365,0.1,51781345,3564156.2121212115,-0.08115955688063507,0.8248061108234336,0.5105357981769842,1.1731193376963596,0.8602840009888986,0.1445872186367672,-1.800212736502719
2010-06-11,230.2396733874617,231.7384425607304,227.7110826636246,229.0995178222656,7028035,-0.0017628075139721,0,0.0231621245513921,normal,0.0002810117595892,0.0166888681109611,0.0167724160481328,0.0177407150658759,57.97880919626186,0.5610939805215578,0.0311245799135752,0.1,44753310,3564055.212121213,0.19597960161899303,0.8856719173374192,0.2236814451592776,1.1088474031839468,0.4302573790412045,0.012473374884835298,-1.6830408526710678
2010-06-14,230.05577308878856,232.07864281258608,228.07888054672267,231.0672149658203,3069890,0.0085888314487037,0,0.0225020456389253,normal,0.0343264603048263,0.0195968049374075,0.0230203083902342,0.0184675711500599,66.92253523689592,0.6921052754686194,0.0296316258543127,0.1,47823200,3728999.484848485,1.0522470312330305,1.0110638031638646,-0.056772883673113596,0.9295123143586024,0.602237143858599,0.25656548745633057,-1.535982913533395
