Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,vol_20d,volume_ratio,obv,obv_slope,rsi_norm,macd_hist_norm,atr_norm_norm,vol_20d_norm,obv_norm,price_vs_ema20_norm,ema20_vs_ema50_norm
2010-05-03,133.47559511955853,136.57807075527552,133.47559511955853,134.3682098388672,1248088,0.0013562613173394,0,normal,-0.0571600951624335,-0.0643858005635601,-0.0563113042259485,-0.0570115771655522,15.043219426880128,-0.6901130230081822,0.0252038862728578,0.0113432570488256,0.1,-32545968,-3781491.296969696,-1.3509304005120462,-0.3290116210221898,-0.4961993285112761,-0.6352414563831459,-3.0,-0.9616233672035098,-1.9862185174026736
2010-05-04,135.19147600446428,135.87610162049532,128.25857979910714,128.90853881835938,1596644,-0.0406321631214331,0,normal,-0.0748230170484487,-0.095304566285594,-0.0864196718051304,-0.0601211922962511,11.775895569936864,-0.8988650706128185,0.0288211665755257,0.0137212618693069,0.1,-34142612,-4038469.9151515146,-1.5564303612181052,-0.6321494347445294,-0.19602842134198895,-0.3815802032725715,-3.0,-2.477228260966516,-2.279588254770601
2010-05-05,128.90853604684145,128.90853604684145,124.6274706163238,127.62594604492188,945024,-0.0099496339435261,0,normal,-0.0437014603054244,-0.1,-0.0872065655034174,-0.0631637552767058,10.779231517022268,-1.0210403579453369,0.0298577382882179,0.013612791622147,0.1,-35087636,-3964251.975757576,-1.5713670816943839,-0.8689899283951278,-0.0759268347579961,-0.3648816799309431,-2.9414440528061565,-2.3955372957476317,-2.53738990066456
2010-05-06,128.60524692427958,131.03176101719052,125.8320879609528,127.25333404541016,2001200,-0.0029195630752116,0,normal,-0.0443215472419235,-0.1,-0.0820143070543097,-0.065783695318342,11.090935163239893,-1.0221463741408554,0.0317595755216723,0.0136183598793703,0.1,-37088836,-3611811.7818181817,-1.4873449681626572,-0.9898823050905886,0.13574907634318065,-0.33597290526217316,-2.857939489054941,-2.10492528577743,-2.701673120395802
2010-05-07,125.7974128442128,126.12672968032452,121.3256964342457,123.57888793945312,1411576,-0.028875047821111,0,normal,-0.0790493275663893,-0.1,-0.0992112194124701,-0.0693381694608749,10.383976008664874,-1.155696198133918,0.0345772777663444,0.0143397669421166,0.1,-38500412,-2993265.357575759,-1.4959814257556674,-1.31715230974142,0.46699917894190834,-0.22845374130913904,-2.7380604473924706,-2.7781365163897225,-2.8842159331002337
2010-05-10,125.65875396038406,127.3746501425199,123.92552976782704,126.84600830078124,1148164,0.0264375284144717,0,normal,-0.0559820030876834,-0.1,-0.0687093389499924,-0.070938139326251,21.485104946029068,-0.9196297119511936,0.0346334049994255,0.0162825773179919,0.1,-37352248,-1967953.9878787897,-0.6332150430502745,-1.106612146073327,0.5782291359006586,0.02499040608177478,-2.4574552319436513,-1.3604943069669866,-2.8465988738017005
2010-05-11,127.04528997320412,127.04528997320412,122.1922638896438,122.80755615234376,852496,-0.0318374397628766,0,normal,-0.0473279948864543,-0.1,-0.0898332186705493,-0.073745105249139,15.054745496667806,-0.9283984267834552,0.0369568099090101,0.0171116647279292,0.1,-38204744,-679101.2121212123,-1.0998254872397024,-1.2414848316526073,0.9693090650243136,0.16775666269863101,-2.359606988988417,-2.2108926723405697,-2.884014951072598
2010-05-12,123.4056095466302,128.58795608915338,121.6723846934472,127.2187042236328,1567912,0.0359191910456793,0,normal,-0.0031909014891512,-0.046752914739809,-0.0519816697077181,-0.0741867584308232,25.798451067575016,-0.5488156778182276,0.0380985035958996,0.0198084341429942,0.1,-36636832,-519338.9575757581,-0.2824383103582267,-0.6800903344936001,1.3281254566962868,0.5629537694382356,-2.113256126683332,-0.5579416649012445,-2.7185857746764985
2010-05-13,128.77854754904817,129.29851476660826,126.03139164777645,126.67267608642578,1344628,-0.0042920429078351,0,normal,-0.0045630078248257,-0.048682315499876,-0.0509846158691665,-0.0745532226526937,26.193601893337856,-0.260824652709358,0.038648771501885,0.0197389259255016,0.1,-37981460,-574780.3393939404,-0.24917142312513305,-0.1997499109294542,1.6990011472706297,0.6235937209050517,-2.0892704025989657,-0.5103150943108172,-2.567144217246489
2010-05-14,126.11805705798884,126.87200531709856,122.36562261457864,123.74353790283205,623376,-0.0231236780818876,0,normal,0.0013323470224104,-0.0778223016801855,-0.0664451956588502,-0.0758330651135635,24.324430939081168,-0.1968285547437833,0.0407641924419289,0.0200601078123386,0.1,-38604836,-553619.9272727284,-0.3913630180095304,-0.10757796731138161,2.351498353481911,0.7531529790933011,-2.020374677847469,-1.1546392299831656,-2.4975365745333833
2010-05-17,123.0589108739012,125.48542460944292,118.20588340281778,124.61881256103516,817556,0.007073295891139,0,normal,-0.0175582643047378,-0.0725573205858989,-0.0544529990476648,-0.076350116793435,28.51725857827597,-0.033345566960663,0.040284156701148,0.020274017022806,0.1,-37787280,-346347.19999999966,-0.06803653319607045,0.19951834228056836,2.417176923667635,0.8658867355949011,-1.8695448609386052,-0.614821436025442,-2.382609967445729
2010-05-18,124.79213996574023,125.83207446545474,122.88559338293032,123.6482162475586,560720,-0.0077885216006305,0,normal,0.0068453450386389,-0.0408066263028,-0.0562612707538603,-0.0769574796116528,33.284184323606524,0.0662006557871102,0.0381072670635411,0.020273878529574,0.1,-38348000,-212571.07878787967,0.3305243806471208,0.38916599138366265,2.0030542566926957,0.9656703238893498,-1.818803406387206,-0.6686423563319621,-2.2885891024151026
2010-05-19,122.88560147461008,124.79214818296086,116.33401581075692,117.6339340209961,791096,-0.0486402667914043,0,normal,-0.0753408884419072,-0.0782913845779351,-0.09334320593646,-0.0797582619608811,27.86163205814026,-0.2015729613058194,0.0428024263355073,0.0219035242273485,0.1,-39139096,-133972.848484848,-0.08399903904876037,-0.14536180094646708,2.744017638721084,1.3714711996284625,-1.7855935013144004,-2.156906717100361,-2.3436367844446764
2010-05-20,118.72585031700288,119.41913995389048,113.53484204505484,114.71343231201172,814540,-0.0248270342507044,0,normal,-0.0944106033273864,-0.0985428148304828,-0.105988641041973,-0.083211344407755,23.645433321527577,-0.4876411318108733,0.0460991563986087,0.022013649107454,0.1,-39953636,-184108.79999999944,-0.3980241362836122,-0.7044739357262373,3.0,1.563833613386126,-1.7556792094525036,-2.496139833807272,-2.421742574253477
2010-05-21,113.87284758773733,114.04617003459842,109.64377565282165,113.17955780029295,835992,-0.0133713592279824,0,normal,-0.0853699537088903,-0.0841513490901073,-0.107922395711701,-0.0866560053781697,22.33549603257208,-0.6805770666725586,0.047965423199477,0.0220022694946486,0.1,-40789628,-339224.5333333339,-0.48120485130394175,-1.0594612026966264,3.0,1.7966187141264995,-1.7291101706341712,-2.3989886676739225,-2.478014186490742
2010-05-24,114.39281123102047,117.33929273242556,113.97683314049368,115.0427703857422,521860,0.0164624480044082,0,normal,-0.076842669084195,-0.093051709495271,-0.085112710386171,-0.0886255752962125,30.02009188883981,-0.5866801648593105,0.0450416883411471,0.0227925702538421,0.1,-40267768,-361582.8363636355,0.14213163560009584,-0.8458647787975063,2.437297778064923,2.275866244855364,-1.6269299337753527,-1.476567721977949,-2.4351372403721974
2010-05-25,115.2594073352918,115.2594073352918,110.2330572409708,111.01300811767578,590360,-0.0350283833964923,0,normal,-0.1,-0.0960408984935483,-0.1071977836642017,-0.0918356530709175,27.81773940284596,-0.6926629539626958,0.0471562307810372,0.0233136179749847,0.1,-40858128,-437636.0242424231,-0.030934553844508626,-1.0274334603715196,2.551710475170115,2.5962226508440995,-1.5950901976127025,-2.16680878802469,-2.4565345595918577
2010-05-26,111.79294880895596,113.50884481287645,108.35250337556413,109.98172760009766,1242216,-0.0092897268082758,0,normal,-0.0650510117219459,-0.1,-0.1056545820645519,-0.094841851138135,27.336894040140805,-0.7254358487870256,0.0475702648887296,0.0221320326498054,0.1,-42100344,-444756.751515152,-0.06247554061084996,-1.0650018993206507,2.434725333023283,2.1857981916539195,-1.600886898542953,-2.006199604093017,-2.454730886423443
2010-05-27,110.89170948100588,110.89170948100588,106.86196222463728,107.55525207519533,2230468,-0.0220625332757563,0,normal,-0.0624005410050558,-0.1,-0.1148156485271548,-0.098283767191199,28.262512057694764,-0.7979888617847877,0.0473830540095116,0.022239080670712,0.1,-44330812,-596956.8484848483,0.013330637981331894,-1.1836183613320428,2.264843014966309,2.089756948686852,-1.6581271129480084,-2.1988385555074337,-2.4644493232364932
2010-05-28,112.13961911645735,112.27827495324458,108.50851186857231,111.6196517944336,989088,0.0377889469906751,0,normal,-0.0137825773149938,-0.0979759130365141,-0.0741912872801214,-0.0992075976180704,29.78145215392098,-0.4756206611096782,0.0462510780175983,0.0244343353717092,0.1,-43341724,-659803.248484849,0.13443493428504105,-0.5574688141912768,2.010475942142393,2.4572549667229002,-1.5379239801634017,-0.8383152801168903,-2.3503743197990685
2010-05-31,112.1396030589914,112.78089811341168,109.21044999951656,110.2677230834961,1053348,-0.0121119237446404,0,normal,-0.0415067134269734,-0.1,-0.0779044967144703,-0.100319962736596,32.06950954473321,-0.2671959595554583,0.0459873149596352,0.0243227132476838,0.1,-44395072,-668184.4363636367,0.3241844544918835,-0.15320743671765333,1.8812572213374201,2.277763697883769,-1.5350980768175442,-0.9312305689633015,-2.258992796187823
2010-06-01,110.2330730384632,113.5175354279246,109.56578586871328,110.60572052001952,1571440,0.0030652436367755,0,normal,-0.0036688276857116,-0.1,-0.068416960060777,-0.1008337358739954,23.11358344382191,-0.0326586706634364,0.0439327634115762,0.023326244867435,0.1,-42823632,-548137.6000000011,-0.3696653727752687,0.3033555747262882,1.571338159626916,1.9456685064897823,-1.3948221840412391,-0.598434087321749,-2.152794063616807
2010-06-02,111.27300109638912,116.73265769223998,110.40638893831756,115.98737335205078,2078856,0.0486561889089378,0,normal,0.0546058502898785,-0.0139973272393612,-0.0209367027398739,-0.0985123288221433,35.047313277184315,0.5278993900081117,0.0437782597133848,0.0264560555384498,0.1,-40744776,-313188.2666666668,0.6249224397290647,1.37798268095601,1.4927070788832533,2.455521440657318,-1.2368518240350903,0.9743569320405703,-1.9410065026422667
2010-06-03,118.72585718866796,124.60149143286702,116.99263299613268,123.87353515625,5799960,0.0679915543932763,0,normal,0.1,0.0798520509727536,0.041106847649184,-0.0925528060611848,50.159751238472886,1.4220442966616895,0.0433598267554304,0.0310270536955261,0.1,-34944816,203282.64242424132,1.8117535574530952,2.8760163493098925,1.3928336477011662,3.0,-0.8847621999714093,2.796641997144769,-1.599647325475496
2010-06-04,124.44548992764136,124.9741211604677,121.5943341777532,122.24429321289062,2433356,-0.0131524618337912,0,normal,0.0951861186417613,0.080091631287273,0.0247383106250473,-0.0877625615362547,47.135085716473895,1.8679104581613792,0.0416590502261927,0.0304750220874837,0.1,-37378172,470579.2727272709,1.525417887267852,3.0,1.1635831581265825,2.7274074169986506,-0.9869886251365393,2.176850947060558,-1.334129388041857
2010-06-07,121.15238946658062,124.17686825785792,116.83665633991411,122.6169662475586,3452772,0.0030485924935486,0,normal,0.1,0.0658380864475001,0.0251420500519692,-0.0831001413597209,48.73755751450658,2.1329313371420566,0.0440919330586077,0.0298450623813687,0.1,-33925400,919648.6060606051,1.5904082524773884,3.0,1.3841308327627275,2.4345012617396073,-0.7670732460794831,2.0815766098826085,-1.0887320980179807
2010-06-08,123.57892029570172,124.94817203118494,120.46777986394916,121.5423812866211,2088724,-0.0087637542651964,0,normal,0.0988797027421566,0.0948481024654694,0.0145966419001919,-0.0792234752642491,55.442951685261455,2.17348705800679,0.0421441040817084,0.0290365215863999,0.1,-36014124,1138553.018181817,2.0061423765844024,3.0,1.1369413347067991,2.162138028711386,-0.854627347171599,1.719946973865043,-0.8864713921354546
2010-06-09,121.93232759798364,123.88220490498765,121.0657154615374,121.57701873779295,1212552,0.0002849824958601,0,normal,0.0481918438550736,0.1,0.0134490238549134,-0.0755428941471629,60.39374081502498,2.1370605348128766,0.0403297073911462,0.0277744281205706,0.1,-34801572,1282067.0303030298,2.2512385462351006,2.7929797440469457,0.9147854181948836,1.85872199449764,-0.7589983549675384,1.640857631928304,-0.6978214356717618
2010-06-10,122.19232299121508,124.3588535407047,121.75901688131717,123.9862060546875,1266304,0.0198161407633334,0,normal,0.000909563921748,0.1,0.0302416034246562,-0.0709677808955266,65.94220890324235,2.200960002781973,0.038228040804922,0.0281854393873481,0.1,-33535268,1257484.339393939,2.4766255684002862,2.666048450796073,0.6699771179772701,1.8349010321688182,-0.6615301961242999,2.012113636711477,-0.47274825566847944
2010-06-11,125.23412336371966,127.28800056687848,124.28951397668762,126.09207153320312,3005120,0.0169846755177489,0,normal,0.0314761386334128,0.1,0.0429977672540493,-0.0657686755531175,66.18430692580259,2.3000184185097776,0.0371035881070988,0.0279316289138455,0.1,-30530148,1331901.4060606044,2.3671145163592273,2.596757605544271,0.5329508311090584,1.716022452973231,-0.4659001851971924,2.2426483068531846,-0.22075207179910222
2010-06-14,126.54269507584482,129.03854216452746,126.00539980337336,128.15460205078125,1187176,0.0163573370831251,0,normal,0.0451620682903082,0.1,0.0540295416022509,-0.0600689361816809,76.64334901414833,2.4079132325216834,0.0353955006859674,0.0281090904999544,0.1,-29342972,1245558.4969696966,2.845187530428627,2.546731922794043,0.33638755858126623,1.6691709987155563,-0.37276569295934525,2.3964410510962457,0.05507795471656884
2010-06-15,128.29327582577335,129.12522144550869,125.728105757105,127.05401611328124,1014080,-0.0085879548598957,0,normal,0.0453474316391959,0.1,0.0405204316138361,-0.0553835428230844,76.47858034892528,2.308339681476381,0.034713088634688,0.0281239642667178,0.1,-30357052,1026215.1030303028,2.6632954435210787,2.307340605233036,0.24980082383053706,1.6030272441789042,-0.4082866772777662,1.9798165157177028,0.2867484535842491
2010-06-16,128.258590071542,128.258590071542,125.31210894827684,125.99673461914062,582796,-0.0083215117985561,0,normal,0.0363532181265255,0.0862969905931823,0.0287400679170988,-0.0515766711016894,79.87081645051217,2.0814512039715725,0.0343902656165394,0.0256604297667718,0.1,-30939848,762563.1757575747,2.707683805939255,1.985618574733516,0.19877562773732016,1.1922261324252927,-0.41890857498743644,1.6488301694482412,0.47975831746829106
2010-06-17,125.65874505912234,129.64516041961863,125.65874505912234,128.94320678710938,1318752,0.0233853057928465,0,normal,0.0399802598220921,0.0409261883457565,0.0475301413532913,-0.0467515251047484,79.11443450270637,2.0374242228572634,0.0331963695827243,0.0250931571354644,0.1,-29621096,838659.5636363635,2.5372131662548916,1.8666171605753041,0.05471321212104059,1.0712670384219514,-0.3136671091217154,2.004716563065959,0.7209720153231178
2010-06-18,128.95186252208254,131.0144032643562,126.57734358300732,127.5306167602539,2335284,-0.0109551333649372,0,normal,0.0114086889806706,0.0432439290900643,0.0325089378804046,-0.0430136011766718,78.9534499243496,1.827490384523772,0.0340494485500407,0.0249998291567444,0.1,-31956380,560623.1515151521,2.3975390536094268,1.6124276773644217,0.13128734827611255,1.0227536222178455,-0.4334465890239959,1.6188404373152754,0.9114960572459153
2010-06-21,128.2585784108141,129.88781323294194,126.02271517728376,126.75067138671876,1216260,-0.0061157500320206,0,normal,-0.0109549765798201,0.0337123423100713,0.0236406927966292,-0.0399505584567179,76.68286101566692,1.5607831044919425,0.0342101365884886,0.0250255123963511,0.1,-33172640,380711.3939393928,2.1594009561823,1.324217823571866,0.13460498481799854,0.9929527570974298,-0.48545614963855516,1.3825353786082328,1.0676322901081243
2010-06-22,125.65876106887325,127.04534050135736,118.15390200630526,124.28084564208984,1715960,-0.0194857014768263,0,normal,-0.0218267045468191,0.022530942100031,0.0033413187143356,-0.0382397637945772,65.16640827565577,1.1610710095964092,0.0363642858040902,0.023929503359642,0.1,-34888600,-41170.81212121194,1.5417893443329909,0.9353288190139332,0.35247545552027515,0.8017692155584291,-0.5705277952864418,0.9302238911521296,1.159149234057212
2010-06-23,123.4055612607888,130.66777478558956,123.4055612607888,130.10447692871094,5043080,0.0468586390487901,0,normal,0.0326019743447087,0.0701403791559429,0.0453432079910127,-0.0340133556821267,62.32431815767362,1.2255703789983132,0.0339943688654345,0.025304526180073,0.1,-29845520,-120781.84242424397,1.3739033914835386,0.9766654948666568,0.06956750723490203,0.974248457920719,-0.21266102791356595,1.7825059444857834,1.3651592050314334
2010-06-24,130.68510516058254,130.87575559177924,127.39197916847236,128.15460205078125,2669468,-0.0149869929456624,0,normal,-0.0061159075842602,0.0336198366635653,0.0267746340090555,-0.0310800059233179,61.54371368914962,1.078767011532125,0.0345695536956893,0.0248974920691557,0.1,-32514988,-321653.30909090885,1.300090158986631,0.8240893322028824,0.1148903878688226,0.8830886515882026,-0.3667823777338938,1.3452693111515477,1.5003980042543588
2010-06-25,128.25863932714825,129.76654706742315,127.56534938483937,128.024658203125,651340,-0.0010139616180522,0,normal,0.0038739045997076,0.015326789753097,0.0232257900954737,-0.0284711972037959,60.66313293438685,0.9209038757448436,0.0317374403383655,0.0240403446197852,0.1,-33166328,-370078.109090909,1.22080656444537,0.6605432285197562,-0.22086164699673502,0.7292456950318722,-0.3868315882890846,1.2282374425617955,1.6063886525254354
2010-06-28,129.99179286341513,129.99179286341513,128.43189134905415,128.9518585205078,460220,0.0072423572958242,0,normal,0.017366275931377,0.0062210522054497,0.0276379679558498,-0.0256859205773941,64.6957617554745,0.8297496825903996,0.0301171041872996,0.0236099584286542,0.1,-32706108,-282301.236363638,1.360499618016678,0.5584640221831236,-0.4207129518432374,0.6409932889739645,-0.3286210642269144,1.276440098322804,1.7071197281745507
2010-06-29,129.2985070478505,132.07166537595455,126.84599091992972,127.88592529296876,2216816,-0.0082661331117576,0,normal,0.0290075243071727,0.0065476810976663,0.0172886767356954,-0.0236402398613778,62.02114702874861,0.6560975218602918,0.0317137417012251,0.0238720304451109,0.1,-34922924,-342281.64848484803,1.2014048154453705,0.3837184676302471,-0.2529572506017977,0.6560760495487525,-0.46162090100059733,1.0355929996199884,1.7624845883398266
2010-06-30,126.56004430457844,129.59318692071713,126.56004430457844,127.25333404541016,1340440,-0.0049465275096491,0,normal,-0.0219142565314107,0.0099732697840777,0.0110764027219862,-0.0220528534794745,56.67734574613896,0.4659998603463144,0.0320124560241175,0.0219452169388442,0.1,-36263364,-458886.133333333,0.9374183864970811,0.1965060262311895,-0.23445433428318133,0.34384222421384536,-0.535137548231847,0.8876701691700662,1.7891810854291939
2010-07-01,126.17872790066,129.3678648153681,126.17872790066,127.61730194091795,1188184,0.0028601835719126,0,normal,-0.0041925931746905,-0.010282859246556,0.0126211656343906,-0.0204294806935981,53.356230317832456,0.3380956795041918,0.0318581001711233,0.0161533621416841,0.1,-35075180,-358236.31515151355,0.76619338979763,0.06658046970935738,-0.266335211957274,-0.555934157553609,-0.4179994741726937,0.8940979901912491,1.8098289239840688
2010-07-02,128.0159401142787,128.95188544985476,126.525371476336,126.97600555419922,466924,-0.0050251523654342,0,normal,-0.0081910208833518,-0.0043488475171206,0.0068103148173925,-0.0192247910217845,47.23348960219313,0.1909539095162693,0.0316777502342246,0.0158619852855349,0.1,-35542104,-372630.5696969695,0.4765001833648386,-0.07967808530854704,-0.3025554513676411,-0.616520125578844,-0.4282264530534696,0.758756703535144,1.8070578535108788
2010-07-05,128.62253814891363,132.4529692187228,128.62253814891363,130.62442016601562,2071516,0.0287331027298625,0,normal,0.0129704345846386,0.0305619586619623,0.0322256879676809,-0.0164969396692035,57.48544754012567,0.3127919178624454,0.0319302834348077,0.0169520594847927,0.1,-33470588,-311653.7212121222,0.9030748242325644,0.021605504773842498,-0.28991596159920907,-0.4653468522721779,-0.22902868578790211,1.2254043029233628,1.8606155531568287
2010-07-06,131.71636824806123,132.93828912886522,130.88442279169004,131.98501586914062,1573668,0.0104160898964815,0,normal,0.0320527107794028,0.0619900048736201,0.0387258453025778,-0.013468408809701,62.39692603945811,0.450118116496268,0.0312587618325702,0.016775109194723,0.1,-31896920,-275626.27878788,1.083906722327397,0.13696489568150852,-0.3883492138961964,-0.5123701911254112,-0.06125840976662432,1.3092304325944102,1.9151339401886829
2010-07-07,132.0716908480675,132.93830299273986,129.4285238068168,131.10108947753906,1323724,-0.0066971722947546,0,normal,0.0302369714789227,0.00766009419779,0.028656963960123,-0.0111765794057664,54.884355790292425,0.4456870797834635,0.0312098301531012,0.0169341239942182,0.1,-33220644,-11859.41818181792,0.7287988128563575,0.12176167526296756,-0.412422745526237,-0.5076470404958923,-0.14593122412850343,1.08314180744154,1.9313004222032601
