Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime
2010-01-04,180.9556495017028,182.05715645488647,179.8996618903213,180.6279296875,4371510,,0,,normal
2010-01-05,181.7020951726804,185.707546501793,181.28333675009884,184.39666748046875,7629380,0.0206499602691154,0,,normal
2010-01-06,185.707574614144,187.2915559864518,180.7098510614292,181.30157470703125,5953585,-0.0169274353616177,0,,normal
2010-01-07,181.4198921114219,183.1586279736626,180.08171807559432,182.5851287841797,4964525,0.0070547199898802,0,,normal
2010-01-08,182.61243003576632,185.68933980624803,181.40168796731604,184.97018432617188,7931425,0.0129781229295247,0,,normal
2010-01-11,185.5255322263807,191.7157881951109,184.8154748834069,191.0603485107422,10096505,0.0323946926455134,0,,normal
2010-01-12,190.80540265664297,195.7211850028193,187.71026860598923,191.0420837402344,14351905,-9.560143553155598e-05,0,,normal
2010-01-13,189.62200317853825,190.96019123451904,186.90010772572,189.4035186767578,10503700,-0.0086139788970331,0,,normal
2010-01-14,190.22280900295448,196.4494709246548,189.6948152530253,194.100814819336,10746410,0.0244979295037461,0,,normal
2010-01-15,196.63156607163336,199.0712473535749,193.93697923954883,196.23101806640625,16362695,0.0109149406540822,0,,normal
2010-01-18,194.81085727628584,202.6397103679081,193.1176408583559,201.6656494140625,10033600,0.0273184963661989,0,,normal
2010-01-19,214.41938139351728,214.41938139351728,199.0165808332003,201.31971740722656,8069485,-0.0017168469144968,0,,normal
2010-01-20,201.54733533843185,203.7048298694653,196.66795923088856,197.3143005371093,6584845,-0.0200963866242913,0,,normal
2010-01-21,197.54187730625185,198.63427200633265,191.16955868346952,193.21780395507807,7313095,-0.0209798210742446,0,,normal
2010-01-22,190.25919559640505,192.6078514481453,186.6178712787705,187.82861328125,7275735,-0.0282881549506477,0,,normal
2010-01-25,186.79996202197464,187.46449991772764,183.0038825328158,185.47088623046875,5243060,-0.0126319933732474,0,,normal
2010-01-27,182.63063775826868,183.8231693872721,175.72122740282435,177.1049346923828,12127575,-0.0461555139090155,0,,normal
