Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime
2010-01-04,40.159464489946565,40.74227326840808,39.80879195425712,40.64349365234375,5527480,,0,,normal
2010-01-05,40.84598560395065,41.17690517110227,40.5545831515546,41.0460205078125,7113640,0.0098551232064902,0,,normal
2010-01-06,41.0929481664692,41.71527033441314,40.75709217706147,41.54487228393555,13930200,0.01208021431334,0,,normal
2010-01-07,41.73502220022919,42.21905133464247,41.216419825372135,42.0116081237793,20800120,0.0111718610457622,0,,normal
2010-01-08,42.17953899546527,42.18200716691312,41.3892907890712,41.75231170654297,7447940,-0.0061911440152928,0,,normal
2010-01-11,42.27831560100898,42.5598416222687,41.58684705652184,41.91282653808594,6490040,0.0038370827288813,0,,normal
2010-01-12,41.91284259087332,41.97704898234827,40.50027183280943,40.65091323852539,11324300,-0.0305706010756212,0,,normal
2010-01-13,40.25330154293941,40.59162563229219,39.8236023662357,40.15452194213867,15403460,-0.0122862413777355,0,,normal
2010-01-14,40.56940570059326,41.50041881210365,40.13970647184984,40.71757888793945,12088020,0.0139248526531452,0,,normal
2010-01-15,40.747210476599975,40.98922315645574,40.26812145959938,40.59410095214844,12526160,-0.0030371536032784,0,,normal
2010-01-18,40.14958462845125,42.40426478328094,40.0162280130604,42.07334518432617,14503560,0.0357916498566472,0,,normal
2010-01-19,42.475881010419535,43.26612920581047,42.26844156566704,42.40426635742188,20851240,0.0078345696505759,0,,normal
2010-01-20,42.52527085149293,43.453815779025774,42.27337794368341,43.22908782958984,15608820,0.0192646192409871,0,,normal
2010-01-21,43.06856377796622,43.06856377796622,41.2905044968943,41.70291519165039,13594640,-0.0359425630202605,0,,normal
2010-01-22,40.74720623015386,41.24111176021634,39.71000537066271,39.99153137207031,25045640,-0.0419033190331679,0,,normal
2010-01-25,39.710011233394845,39.7594010400529,38.240642818163465,38.43079376220703,18882760,-0.0398086568830344,0,,normal
2010-01-27,37.98134207913144,40.59903954545552,37.16639707078309,37.78624725341797,12751860,-0.0169138519687708,0,,normal
2010-01-28,38.16408175065185,39.2383278730975,38.0381371868053,38.56908416748047,15804020,0.0205058201037755,0,,normal
2010-01-29,37.78377792261449,39.139550134037,36.69718712362348,38.470306396484375,19616040,-0.002564345963854,0,,normal
2010-02-01,37.94182965492774,39.38650510364967,37.7936564613457,38.76912307739258,14979340,0.0077374515514279,0,,normal
2010-02-02,39.463053596291545,39.463053596291545,37.03797557407084,37.23307037353516,8240700,-0.040426777941589,0,0.0230318728427049,normal
2010-02-03,36.99353277679104,38.74689551830285,36.99353277679104,38.5048828125,13305920,0.0335877046519477,0,0.024376132132218,normal
2010-02-04,38.47524701181955,38.52463681820274,36.81078378248085,36.99599838256836,6263440,-0.0399753045777471,0,0.0254161618253509,normal
2010-02-05,35.56120637528975,36.17364831887901,35.12409882516386,35.37845993041992,12142300,-0.044706596571979,0,0.0265006481180841,normal
2010-02-08,35.956327816084986,36.96636382519908,35.23522235156776,36.45270156860352,13467720,0.0299124144156555,0,0.0278672277486923,normal
2010-02-09,36.45270757525375,37.131827861260426,36.0156000088004,36.74411010742188,10825140,0.007962370811974,0,0.0279650974763904,normal
2010-02-10,37.02316793262135,37.14170423628107,35.69950060911744,35.929168701171875,6777680,-0.0224284793927873,0,0.0276550260758747,normal
2010-02-11,36.252680514961554,36.8404257579792,35.98103086233042,36.31688690185547,11079660,0.0107333727690979,0,0.0278654612807724,normal
2010-02-15,39.710007212991705,39.710007212991705,35.81802904388466,35.941505432128906,4365880,-0.0103900691552953,0,0.0275236139423883,normal
2010-02-16,36.15388170276235,36.69470883729998,35.89952066742638,36.53913116455078,4754640,0.0164910051643492,0,0.0279856597924835,normal
2010-02-17,36.63790562853789,37.726968026280936,36.59839228903622,37.45037841796875,10023600,0.0246330415169029,0,0.0272250201017664,normal
2010-02-18,37.43804378496092,37.55904823819431,36.82312999258141,37.114532470703125,11152360,-0.00900821081547,0,0.0270402917453206,normal
2010-02-19,36.830538721768704,36.830538721768704,35.808154328228675,36.05510711669922,5123080,-0.0289600824261015,0,0.0267553262468586,normal
2010-02-22,37.52694455212416,37.52694455212416,35.24509960290538,35.37104415893555,5673620,-0.0191549974746587,0,0.0261238878684718,normal
2010-02-23,35.26486214477329,35.75629582674068,34.6771132490968,34.847511291503906,17330300,-0.014911801166527,0,0.0249644262636105,normal
2010-02-24,34.35361472978918,35.16608803378965,34.35361472978918,34.968528747558594,7149560,0.0034667556965395,0,0.023809244088403,normal
2010-02-25,40.01128767856622,40.01128767856622,35.259915166381745,36.05263519287109,25307360,0.0305314809913821,0,0.0248703967793214,normal
2010-02-26,36.44530662179881,37.45781117274525,35.86743778475991,36.75893783569336,14510440,0.0194014431663851,0,0.024818155181865,normal
2010-03-02,37.097238305970976,37.32937446822415,36.61568125033911,37.00586700439453,8121920,0.0066950652576514,0,0.0249012222718903,normal
2010-03-03,37.28987132344812,37.87762016999949,36.97377205342063,37.492374420166016,8841000,0.0130610957425862,0,0.0250381968462726,normal
2010-03-04,37.63560428409183,38.42585623915355,37.35655018935373,38.287559509277344,12694960,0.0209874629293653,0,0.0237692124228525,normal
2010-03-05,38.52463823053227,39.75940227638266,38.28756187572063,39.60382080078125,23671600,0.0338005720422946,0,0.0237844284938131,normal
2010-03-08,39.759400212214544,40.50025860126202,39.759400212214544,40.12982940673828,15899480,0.0131943347797651,0,0.0218046041406829,normal
2010-03-09,40.21873074060089,40.21873074060089,38.882715268559856,39.19140625,6386620,-0.0236624388079973,0,0.0197368909931605,normal
2010-03-10,39.01853610216487,39.418598367768105,38.64810696195444,39.2012825012207,7179160,0.0002519686830564,0,0.0188711194385394,normal
2010-03-11,39.01360193835004,39.11732166123399,38.28262376711056,38.46289825439453,7775180,-0.0190153681791538,0,0.0194992178875632,normal
2010-03-12,38.57402485442588,39.01854062787724,38.18137082462739,38.33201217651367,8046420,-0.0034087208092561,0,0.0186769131043065,normal
2010-03-15,38.65799571452976,38.687632617552495,37.339268460156816,37.50472640991211,11484060,-0.0218184115087463,0,0.0193938383774698,normal
2010-03-16,37.635601623517616,37.88008622875405,37.00340311872073,37.39605712890625,14539600,-0.002901688129798,0,0.0192215067842492,normal
2010-03-17,37.6356081714606,38.32707681946087,37.53682855097527,37.66277313232422,17032780,0.0071068820308375,0,0.018961513290911,normal
2010-03-18,37.69488186189096,37.78378503623368,37.00835325876714,37.26271438598633,17694700,-0.0106789441475294,0,0.0183290125684639,normal
2010-03-19,37.49237406005006,37.49237406005006,36.68236544915919,36.88980865478516,12781640,-0.0100578877031729,0,0.0183568890967998,normal
