Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,vol_20d,volume_ratio,obv,obv_slope
2010-02-02,264.64549994685046,267.32701588812887,257.63502312706635,258.8268127441406,4739188,-0.0103867399962706,0,normal,-0.020949547353330322,-0.077090547499291,-0.018228873167130843,0.0008175564535446433,46.79810399860649,-1.1969544248794843,0.04006245934585851,0.02234963345617814,0.8044546995477494,-28113690,-4444704.266666667
2010-02-03,260.78965767217863,265.3114223911384,257.81020593802066,263.9268493652344,2977676,0.019704436982482587,0,normal,0.012982463168155434,-0.032987979151951397,0.0010099454080352288,0.0008480241711048553,36.815418739390914,-0.8711514713830568,0.036422139893568954,0.022803783615646278,0.5013479527801413,-25136014,-3753480.787878788
2010-02-04,263.9268790463167,264.25988090937886,256.75866361267805,258.9319152832031,2716612,-0.018925448828129743,0,normal,-0.0041121093839406875,-0.04970631629135658,-0.016254321656398618,-0.00019095223998566446,35.26898768442682,-0.9438511091311956,0.03638763241470756,0.02262178468018315,0.4598416520616044,-27852626,-3072866.96969697
2010-02-05,257.63498165233426,257.63498165233426,251.18533545870235,253.6039581298828,4607118,-0.020576672240240956,0,normal,-0.017250719787662128,-0.05869278267978173,-0.03313584924769819,-0.0022309062983773,25.868604451068038,-1.2816149424599816,0.03664093124731206,0.022195650885053344,0.7923739086262008,-32459744,-2575240.921212121
2010-02-08,255.5317880506123,257.547299410408,248.22337715584385,253.83175659179688,4170344,0.0008982448996217585,0,normal,-0.029485123778128175,-0.04193446428995151,-0.029284278756317783,-0.003952418653941803,19.924082115741143,-1.41033333635653,0.03553278109056476,0.02161647437726379,0.7290261232915733,-28289400,-1953378.1575757586
2010-02-09,254.12982645974188,260.07121081927755,252.7452527815533,257.6876525878906,3005894,0.015190754883734447,0,normal,-0.004401244771252144,-0.025258588038833518,-0.013172005160404399,-0.004612011353474332,31.221675736195877,-1.166527324106346,0.034749664268678565,0.021406179839363628,0.5315644968744992,-25283506,-1108714.884848486
2010-02-10,259.3525000973414,260.68448590883844,255.21630322767857,256.6885070800781,2337374,-0.0038773511178293862,0,normal,-0.027425562433549544,-0.014799150619553725,-0.015404337456956019,-0.005383586858094924,30.80830714781247,-1.0091895998941527,0.03433444639246265,0.018136081272247914,0.4393320664850976,-27620880,-528008.7030303039
2010-02-11,258.66908758744603,262.1743261985794,257.6350379183059,260.3340759277344,2413156,0.014202306480823212,0,normal,0.005415171177325373,0.0012807940171708498,-0.0012856670109990809,-0.005253034518149957,39.11387812102453,-0.6155814604439764,0.033051935024201895,0.013916855523393676,0.4929401359331926,-25207724,-95381.16363636381
2010-02-15,262.8929043473652,262.8929043473652,258.87940172880616,261.5433959960937,1956482,0.004645262300180031,0,normal,0.03130644302540708,0.013515664561565277,0.0030332615577799427,-0.004860507454676366,45.580705966388145,-0.2485898620234248,0.03151761134450488,0.013868188023454287,0.4370193190003676,-23251242,126693.7939393929
2010-02-16,261.9289758789779,268.1332529889586,260.15883451957524,265.74969482421875,1660490,0.016082603852814792,0,normal,0.04695211660055554,0.016082603852814792,0.01730785319542827,-0.0035994620875362537,51.64510851356075,0.27430746765322533,0.030874075813087647,0.013951930408802373,0.398901978755513,-21590752,622102.0727272728
2010-02-17,268.1156392773665,269.18473249321045,263.78665789669526,265.92486572265625,2528290,0.0006591574773147091,0,normal,0.031965882152448666,0.027423947709514618,0.016238385010009404,-0.0024533605358180166,56.999466432066164,0.6096299779885233,0.03046300993957713,0.013483653754035794,0.6439842771749043,-19062462,917849.9999999994
