Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,volume_ratio,obv,obv_slope
2010-02-02,42.24498269072895,42.67170167901339,41.086751695526125,41.73698806762695,298294,0.006369475378300349,0,0.01415555069979687,normal,0.0270001584462356,-0.014395405490886692,0.010458061106748184,-0.0022728700002355717,50.69255318761678,-0.07420339399285797,0.03540131787460449,0.5120741109571729,-1179079,-166230.29696969694
2010-02-03,42.65139394895457,42.65139394895457,40.63972743169747,40.985164642333984,473526,-0.018013360812590973,0,0.0143196498055975,normal,0.02803280017123644,-0.027013822288995848,-0.007011361604288169,-0.002617598090758011,43.2718027057229,-0.06217871087798507,0.03736100266362109,0.8410594209157596,-1652605,-186278.2424242424
2010-02-04,41.41187301325831,42.06210630517557,41.269634382859024,41.45251083374024,379628,0.01140281356643702,0,0.014516175209409739,normal,0.03500738404712478,-0.02671766015141286,0.0038992822863486154,-0.002273888630999643,42.35918037836438,-0.020581528314344996,0.03676469384785802,0.7674460305488109,-1272977,-153698.85454545455
2010-02-05,41.02579538596225,41.04611429642283,39.644043758160656,40.11140060424805,335430,-0.03235293116190685,0,0.016093603749570445,normal,0.003048840398962138,-0.03894836543415514,-0.025928490567127316,-0.0037867572753085277,33.41229665831658,-0.07799402348835532,0.03893470979300373,0.6989979528943773,-1608407,-133204.99999999997
2010-02-08,40.55844972311435,40.8022892333007,39.82693432191245,40.31461334228516,186697,0.005066208982380749,0,0.016142507922491556,normal,-0.027927070022009892,-0.01927834478488566,-0.019032299452799606,-0.004814581363131731,37.56229139882519,-0.0957213605416688,0.037802398630695074,0.39546594294035875,-1421710,-100183.55151515154
2010-02-09,40.43652436987408,41.24931845216018,39.42053176701645,40.05044937133789,857850,-0.00655256119423564,0,0.01619245753023659,normal,-0.04040873034624215,-0.0144996140219662,-0.02309136551137303,-0.0060524025672265,37.37629547914198,-0.1172542343598949,0.03928388523555106,1.9041391303421358,-2279560,-115594.5636363636
2010-02-10,40.33492707096598,40.84292181271263,39.50181093787921,39.70500946044922,711805,-0.008625119475834997,0,0.015899382035993465,normal,-0.03123459898371328,-0.0040773920842158695,-0.02860152149431272,-0.007581155784959881,32.16085711469066,-0.14496315056336817,0.03911388646232776,1.6288518482922119,-2991365,-164423.05454545454
2010-02-11,39.92852379923212,41.858907897937975,39.92852379923212,40.59907913208008,386455,0.022517805278990277,0,0.01666217264449025,normal,-0.02058817872536478,0.013698467042290385,-0.006090923379574065,-0.007662187673904475,43.000027221177724,-0.0956575371307263,0.03857426477020164,0.8847105137367014,-2604910,-146003.54545454544
2010-02-15,40.96482762409956,41.24930483310408,40.23331256569103,40.63970947265625,178328,0.001000770003772411,0,0.0162698047963202,normal,0.013171040164382974,0.016260036962694402,-0.004613130958240563,-0.00764884152324774,46.90011896442757,-0.05491187171271544,0.037392838889985826,0.4361996707857785,-2426582,-170003.3333333333
2010-02-16,41.02578560864784,41.94018017244244,40.19267292603696,40.51778793334961,1244861,-0.0030000593234721373,0,0.016086582163187004,normal,0.005039725653311455,-0.02302808913991017,-0.006880582743316932,-0.007775996584917899,49.152525294843564,-0.031915896946881905,0.038472537864905045,3.04679158438493,-3671443,-239487.90303030304
2010-02-17,40.84290607001781,41.046104514266,40.31459261845698,40.51778793334961,140928,0.0,0,0.01586896578349905,normal,0.011668747026498227,-0.02921150257181615,-0.006229371215771273,-0.007858025026447502,55.063187361577114,-0.013397080816785312,0.036968022065081894,0.34820491432253625,-3671443,-262491.4181818182
2010-02-18,40.61938768804335,41.83857832255372,40.47714909361935,41.24930191040039,347688,0.018054143978790238,0,0.016468235938875378,normal,0.03889414637942523,0.006444704330736739,0.01058504184050646,-0.006897853894018757,58.60044617934304,0.04805879979744698,0.036277240961066465,0.844741400475059,-3323755,-267888.06060606055
2010-02-19,41.2493124252904,41.65571253641173,40.43651846176029,40.59907913208008,499762,-0.015763243211550426,0,0.01653194794949745,normal,0.0,-0.02058817872536478,-0.004838466046818368,-0.006928043451670085,54.03229916978586,0.044916434323535204,0.0363219992618848,1.173928582460366,-3823517,-254979.55151515148
2010-02-22,40.63972102876878,41.39155833686336,39.86756793771146,40.07076644897461,481621,-0.013012922814991001,0,0.016205777272196135,normal,-0.013999682356598653,-0.0010130325708230803,-0.01612160262547202,-0.007653383051724472,39.38463937892078,0.009127511501125063,0.03633001431237102,1.087538394404028,-4305138,-259787.64242424248
2010-02-23,40.2333163431457,40.84291176082767,40.11139663373811,40.49747467041016,250492,0.010648865975122268,0,0.016125782784154503,normal,-0.0005013418544186354,0.004535857173487923,-0.005109596982855402,-0.007671031227876268,40.84077549158846,0.015678873054171816,0.034513609883800374,0.5644917490867843,-4054646,-205798.41818181818
