Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,volume_ratio,obv,obv_slope
2010-02-02,70.93487390898497,71.35963363299086,69.38450350889106,69.76678466796875,891668,-0.008750490639928832,0,0.016617399872681432,normal,0.03955694241886176,0.014202314045333786,0.018867015919318053,-0.001525544577728799,53.663049092207025,0.1650166893232896,0.029876015264729584,0.7541881060174309,3394512,120951.72121212124
2010-02-03,70.38269115435644,72.12420876829371,69.27831966371782,71.50830841064453,1326052,0.02496207544842388,0,0.016676851040991234,normal,0.0847296837495457,0.059138612397953594,0.039912605365888476,0.001010597667700619,60.000160937391335,0.3310909515873235,0.030972842497717038,1.1038296726083006,4720564,239373.34545454534
2010-02-04,70.95610616621569,72.84628545463497,70.95610616621569,72.01800537109375,1172032,0.007127800556016917,0,0.016356651688429633,normal,0.0690415636031747,0.053105992763786025,0.04262564271937075,0.0036180355542900777,61.059330356118664,0.4516877868427935,0.031870034886779565,1.0222917183286404,5892596,464968.71515151503
2010-02-05,70.08533881692325,72.71884722165927,69.74552981730496,72.20913696289062,1650072,0.0026539417582036595,0,0.015316589003327946,normal,0.057213851712307084,0.07221716332133465,0.04089281083433116,0.006016758591893545,64.78198646164131,0.5160987810786964,0.0327940784283786,1.4713891501109915,7542668,722871.4787878785
2010-02-08,71.8268645769056,75.18246346088085,71.59324545632846,74.71522521972656,1493348,0.03470597160195754,0,0.01696526929961436,normal,0.06155716783067078,0.11788998575394505,0.06917555284471844,0.010088468222387403,69.51061676837449,0.6884758805959905,0.0340087297265318,1.2916129160599676,9036016,905326.4484848483
2010-02-09,75.18245125588187,76.01073120226795,74.14179150368821,75.22492980957031,4567932,0.006821964175906414,0,0.016914141168275377,normal,0.07823415064314276,0.12088579685418388,0.06868639779603147,0.013972212356392344,76.73062353449079,0.7905140333488612,0.033778295550515355,3.528847911343638,13603948,1307409.3575757574
2010-02-10,75.60720127886832,75.98948228831352,74.14178210090635,74.52406311035156,1349652,-0.009316947200788017,0,0.015643388844126426,normal,0.042173486784063074,0.13047651673143834,0.05284066410144517,0.016712236451063678,71.53508746100486,0.7640585154449964,0.03409596599171119,1.0091372149424314,12254296,1321771.624242424
2010-02-11,74.56654929155617,74.73645053951986,73.12236275859615,73.3984603881836,496406,-0.01510388289620268,0,0.016191628899941683,normal,0.019168192870333556,0.08953315848072352,0.03330355140275221,0.018122265581165697,71.11120572433668,0.6296053914400965,0.03478419533416395,0.37349305761993745,11757890,1244742.315151515
2010-02-15,73.71702954424244,73.71702954424244,71.93304052854094,72.50646209716797,1212240,-0.01215282018584718,0,0.016557976754586236,normal,0.0041175555723667046,0.06156698849860853,0.01873317651571549,0.01856631841844214,69.26403694977722,0.44798280613640773,0.03485646134743737,0.8808348021300647,10545650,1073787.515151515
2010-02-16,72.27284225564645,73.22855134120854,71.99675111234421,72.4639892578125,601418,-0.0005857800550046477,0,0.01631898311043258,normal,-0.030130886379496347,0.029571509421424835,0.01638085027589775,0.018845763836023766,68.47504033483577,0.2995099585994685,0.03454193749493331,0.44045590142344143,9944232,895468.8969696971
2010-02-17,73.01616515730892,73.07988297956288,71.14722570155584,71.61446380615234,2129648,-0.0117234154558854,0,0.016618601483288805,normal,-0.04799560481555454,0.02648365045023926,0.004038402128743623,0.018344760330192278,70.1201169615247,0.12741106040971006,0.03092694771697823,1.47094042956764,7814584,472960.67878787906
2010-02-18,71.35961670573917,72.54894494709832,71.23218752250114,71.72066497802734,288088,0.0014829570205603382,0,0.015895408215113344,normal,-0.03761735492297413,0.002969676840393509,0.004998302660955689,0.017923842986558247,66.99833787092584,0.01022736478955455,0.029464006143797176,0.20186460311948107,8102672,100993.18787878832
2010-02-19,71.61447967449818,73.016181336244,71.2321921002165,72.3153305053711,1675384,0.008291411234487844,0,0.01577962650877688,normal,-0.014756847447264354,0.004128483325041898,0.01204622858862403,0.017958996632971846,66.09882792993037,-0.0352442389918699,0.02888607471681984,1.1543165194509772,9778056,-142449.50303030293
2010-02-22,72.97370995767082,72.97370995767082,70.51010266468917,70.78619384765625,1724448,-0.02114540094097017,0,0.016188515263303335,normal,-0.023725723194249038,-0.019705859605629206,-0.008470593576589969,0.016715752834277176,51.69342563699967,-0.1688401614058347,0.02938149829022625,1.1335672362698814,8053608,-417044.6787878781
2010-02-23,70.67998199623469,71.57197958657596,70.06408198448283,70.14903259277344,444806,-0.009001208007511918,0,0.016239062454959315,normal,-0.031946304485154786,-0.06111462039396409,-0.015764954498857398,0.015069975571270211,51.6012697146466,-0.2933587732049283,0.029172614450928995,0.30244546433795866,7608802,-622538.6787878779
2010-02-24,70.08532428137428,71.21093447276077,69.76675462554985,70.67998504638672,565028,0.007568920539439805,0,0.016274875806325622,normal,-0.013048743369706628,-0.060418065855149194,-0.007529381633405108,0.014002489211002445,46.13842623351976,-0.3304455192454834,0.027536912901799583,0.3898334003606574,8173830,-475384.6060606058
2010-02-25,70.9348682086435,73.05866665800407,69.95791962567392,71.82686614990234,2649050,0.016226391428392883,0,0.015794097575828517,normal,0.0014807611154683542,-0.03619229612394248,0.007751853580668877,0.013928084160377274,49.15889507154746,-0.2707272374591385,0.028301077655894277,1.8263102149621002,10822880,-207894.08484848498
2010-02-26,72.4215134771395,72.93122371267995,71.5932335342216,71.89056396484375,431070,0.0008868243646948937,0,0.01525919273990202,normal,-0.005873810401734847,-0.02054397892496662,0.00781573116447376,0.013860639996950752,48.58222394858576,-0.22197315549343344,0.02665118373616972,0.30692979070929854,11253950,67366.10909090922
2010-03-02,72.63391123733743,73.05867095217566,70.40392273443672,71.52953338623047,874704,-0.005021946674251043,0,0.015159004808937981,normal,0.010501193780442675,-0.013473677830650344,0.0024915440814050616,0.013464746589802123,32.47674435195995,-0.20924624321419572,0.025852549285113102,0.6384594941383088,10379246,220207.5393939394
2010-03-03,71.61447507221523,72.16665739738421,71.16847617154086,71.72066497802734,470084,0.002672065407792301,0,0.013650885128164364,normal,0.02240419186359266,-0.010257843756580343,0.004675558396663115,0.013220570716548696,30.024311218387794,-0.1840530144255581,0.024916441502449288,0.36142055954050895,10849330,360612.3999999998
2010-03-04,72.59141594901052,72.67637305746004,70.97733458954811,72.35780334472656,572496,0.008883609304158213,0,0.013555077713792083,normal,0.023738237879347368,0.01037974033550415,0.012289479810477566,0.01345988226358008,37.5610914360715,-0.12348420617333888,0.0245502900458294,0.44562694466924874,11421826,379296.8969696972
2010-03-05,72.80382766437174,74.31172626175594,71.61450540065711,72.18792724609375,1387490,-0.0023477232693686068,0,0.012440574781596226,normal,0.005026825135846513,0.006515029778510373,0.008960358774636079,0.013482435120073744,42.19199195317567,-0.0951381194264127,0.025679802405967688,1.0774363554728492,10034336,297781.84242424206
2010-03-08,73.48340673224871,73.80197641461395,71.99674821454425,73.05864715576172,1456688,0.012061849437782435,0,0.012625509299782489,normal,0.016248073829121523,0.010278825322321161,0.019079482744053022,0.014134098843463727,53.57142857142858,-0.02184931372172838,0.025394513375238036,1.1188057535368976,11491024,384000.6545454544
2010-03-09,73.52589988429503,74.33294064736779,73.1436123007463,73.4834213256836,1114364,0.005814153237963193,0,0.01266972512967164,normal,0.027315821129475504,0.038103863640870816,0.022569433121111482,0.014977240420813498,56.28279070467278,0.04735738094708686,0.025289024271073997,0.873862115410614,12605388,395276.50909090915
2010-03-10,73.90819867260916,74.07809998507582,72.4427787882955,73.31353759765625,438186,-0.002311864703120059,0,0.009874576071751757,normal,0.022209395578204782,0.04511117100150597,0.018245956881798975,0.01551721247152571,61.428874945986365,0.07231994334062775,0.02505793328365189,0.35844634802096853,12167202,297824.4848484851
2010-03-11,69.70308811613253,73.63211639823699,69.70308811613253,72.23040771484375,794042,-0.0147739410524248,0,0.010162299604424803,normal,-0.0017606342922804608,0.021935809231418135,0.0028965723503975305,0.01507978776460761,53.03051057796196,0.009796494137410572,0.028016960909815432,0.7681071686919827,11373160,139476.278787879
2010-03-12,72.63388965721988,72.78255810577022,70.9773298540557,71.12599182128906,299326,-0.015290179420207273,0,0.010472325385917386,normal,-0.014710706697318998,-0.009757829711664723,-0.011266680716398692,0.013779788741521859,43.33325065239537,-0.10566466139595798,0.0284733264189043,0.3050461335831104,11073834,102624.77575757542
2010-03-15,71.55076252221166,71.55076252221166,69.87296318277933,70.78619384765625,489382,-0.004777409283607481,0,0.010052872485924581,normal,-0.031104508454154356,-0.015361822974814365,-0.01448944785000128,0.012332423221906641,50.0,-0.19921652062007134,0.027817069055787912,0.49891267901597425,10584452,64775.842424242204
2010-03-16,70.14905585720939,70.5950548002924,69.27830373180696,69.93667602539062,569558,-0.012001179553373542,0,0.010044677083112094,normal,-0.04826592497066173,-0.022268527214333367,-0.023870208276552174,0.010362104264987293,48.66323823501726,-0.3062069895168989,0.028154954161820164,0.6003164120017328,10014894,-54338.363636364076
2010-03-17,70.36146232437753,70.63756009904967,69.87299111881073,70.04289245605469,231794,0.0015187514863517215,0,0.01006856082724541,normal,-0.044611749054462746,-0.02339315345844417,-0.0202988272804997,0.008692716015535895,45.76300426109696,-0.3543212665135946,0.027419202820253945,0.24916536043164553,10246688,-125053.93939393933
2010-03-18,70.68001507154676,70.68001507154676,69.76678426276571,69.97916412353516,1225536,-0.0009098472419527548,0,0.009785478484646535,normal,-0.03116753265738459,-0.032873292322862624,-0.019210860585375356,0.007157939264591517,35.64347162151908,-0.3730487650696437,0.025211348801342858,1.3846672184835611,9021152,-217145.78181818165
