Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,market_regime,ret_5d,ret_10d,price_vs_ema20,ema20_vs_ema50,rsi,macd_hist,atr_norm,vol_20d,volume_ratio,obv,obv_slope
2010-02-02,168.7987177955969,172.9411175004827,163.31305868750997,164.4483184814453,1183620,-0.02044183930653809,0,normal,-0.09560587014059407,-0.16555992916776774,-0.08094080117938884,-0.003017690053210509,39.52806992200438,-3.137005963725093,0.06647493724054279,0.037569704231297185,0.6717178968706852,1869108,-704306.3272727268
2010-02-03,168.12275329019317,170.89591210735097,166.25953720991524,167.06549072265625,1286516,0.015914861674345637,0,normal,0.020594015179522085,-0.1373725515840596,-0.06037980893084449,-0.006621164296766291,35.855338565830166,-2.953199501160968,0.0636736114585493,0.037645212109537654,0.7389207491649984,3155624,-699061.1636363633
2010-02-04,166.37219923230717,167.7414400363228,162.19512246154866,163.5557098388672,944008,-0.0210084133390277,0,normal,-0.053368169558827616,-0.15753060309872047,-0.073046666046505,-0.010856997783589284,34.6922848528875,-2.9033683118969416,0.06496430468175844,0.037807315153556294,0.5405894482415187,2211616,-649195.8060606059
2010-02-05,161.20721592862736,165.52294941718822,157.03014887117544,162.3511505126953,854112,-0.007364825889347393,0,normal,-0.03681240734050162,-0.15414480647680118,-0.07282045978703122,-0.014909901327734842,25.028033250330353,-2.7863912436253946,0.06441304833282802,0.03758602296215099,0.48744758770765884,1357504,-626724.5575757576
2010-02-08,163.7897326381174,166.60622274961943,160.32328327011493,163.45175170898438,625648,0.006779140109653747,0,normal,-0.026378021103071303,-0.1710542138979383,-0.060582204153416086,-0.018054033978708195,26.202167881784888,-2.479999861896618,0.06458905180037869,0.037020430676164354,0.3725320602479125,1983152,-352534.1818181817
2010-02-09,159.82060901404432,165.41893198505844,159.82060901404432,163.2697296142578,539220,-0.0011136136066051128,0,normal,-0.007166925621805542,-0.1020875956020939,-0.05608818783343916,-0.020800357991597962,27.454994178013578,-2.1471504012289317,0.061544591180197665,0.037024952760417666,0.32870802056836096,1443932,-303278.8606060603
2010-02-10,164.30965696600552,167.08281573336424,160.86921110175552,161.70115661621094,588020,-0.009607249315306654,0,normal,-0.03210916918414097,-0.012176410722198994,-0.05931929429062377,-0.023637382437594945,26.331093531668074,-1.8987586973222879,0.06201143968605054,0.03695037789618324,0.36658051486352383,855912,-419479.34545454546
2010-02-11,165.00295975410495,165.71357751313778,162.229800766641,163.04441833496094,437160,0.00830706314573959,0,normal,-0.0031260999962029468,-0.05632743532037532,-0.046829471858059746,-0.025601876622256214,28.65010065394057,-1.5261704385016697,0.0591846468424914,0.03559001139982743,0.2952978897508612,1293072,-291766.303030303
2010-02-15,163.2697394916933,165.73092027069632,162.9404226221478,164.30101013183594,392224,0.007707051916941099,0,normal,0.012010137365722873,-0.025244392043701103,-0.03585785622755011,-0.026820595659723168,24.183483899474965,-1.0973224981438001,0.053864356442385575,0.03573322142321075,0.2739164272197885,1685296,-178879.4181818182
2010-02-16,165.69620890664763,165.69620890664763,163.0963729928404,164.63894653320312,416352,0.002056812682381004,0,normal,0.007263273790619751,-0.019306338101777953,-0.030747823087133752,-0.027680555913346283,32.336145624645326,-0.7118184182567378,0.046456038761573906,0.03316781283781379,0.33065170673752725,2101648,-89916.0727272727
