Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,vol_20d,market_regime
2015-08-24,730.0313830931885,742.3905185725712,712.8214519662254,718.0519409179688,2392818,-0.0380384577146433,0,0.0133302895002065,crash
2015-08-25,726.3617013298467,740.7033377091817,721.3842892842183,730.5376586914062,2303018,0.0172388742578446,0,0.0139682785801921,crash
2015-08-26,730.7907152677838,732.7310439538799,717.0817985311587,721.2999267578125,1894521,-0.0127257438332524,0,0.0141426130998168,crash
2015-08-27,726.0664122573238,729.2721793231423,717.9254044077231,723.6620483398438,2087603,0.0032694613794319,0,0.0128335169624848,crash
2015-08-28,733.9543724171665,734.3761852748776,718.76910953957,720.878173828125,1427528,-0.0038543446771877,0,0.0127883768057744,crash
2015-08-31,727.9644726985825,733.9541932193339,716.0693221208837,726.2772216796875,1990625,0.0074616353130867,0,0.0128284186043548,crash
2015-09-01,721.3000155849653,726.6570184961944,715.689883756306,720.2454833984375,1483369,-0.0083396869183927,0,0.0128857518471279,crash
2015-09-02,722.9871291945137,727.5427279677965,695.3162201956181,700.7153930664062,1463479,-0.0274902998027073,0,0.0139507640268304,crash
2015-09-03,700.6309588979924,710.121745517622,687.6391059512409,703.3727416992188,1228866,0.0037851638223704,0,0.0140535885996907,crash
2015-09-04,701.3481024476059,709.2782034632671,694.4725848934198,700.209228515625,1332041,-0.0045077788225054,0,0.0140514789424575,crash
2015-09-07,701.0528074534883,703.5836840146922,689.5795209723566,691.6463623046875,868619,-0.0123044004000618,0,0.0140912417175088,crash
2015-09-08,698.3533064838294,698.3533064838294,662.2461387700719,675.8284912109375,2511604,-0.0231354552353328,0,0.0142825601039094,crash
2015-09-09,679.9622777571258,685.4036735286571,667.223550966194,677.4735717773438,1519952,0.0024312109198794,0,0.0135843068486919,crash
2015-09-10,675.744076040618,675.744076040618,656.0032172678232,666.5907592773438,2651147,-0.0161942402389589,0,0.013822603217127,crash
2015-09-11,668.1514663480431,674.6473936801464,661.4446326187341,670.8932495117188,1368043,0.0064337293711593,0,0.0138926625002968,crash
2015-09-14,675.6597535054088,675.6597535054088,664.8613047946658,670.471435546875,1115042,-0.0006289325840267,0,0.0138293308011912,crash
2015-09-15,670.4714967670179,682.1979140982473,667.434464971575,678.7811889648438,1239118,0.0123177206907652,0,0.01431076226622,crash
2015-09-16,684.1802655636438,684.8551556507474,672.158602451089,680.67919921875,1000450,0.0027923012742814,0,0.014282442025884,crash
2015-09-18,680.8058030868176,689.0733229872304,668.9950456602805,673.0866088867188,3196079,-0.0112171099269362,0,0.0143703286850064,crash
2015-09-21,670.6823281881992,674.816114077762,665.1144200222094,667.0547485351562,1097798,-0.0090018878236124,0,0.0137385891810162,crash
2015-09-22,668.1515896089105,672.243153873189,660.7276933558662,663.0054931640625,1900127,-0.0060888488420856,0,0.0114299749531962,crash
2015-09-23,665.4517993903322,665.9580055964506,658.1544695421674,662.2460327148438,1108731,-0.0011461379481945,0,0.0103182013211835,crash
2015-09-24,665.6204917276947,665.6204917276947,654.8642670514866,659.4620361328125,2627897,-0.0042127316386615,0,0.010152959326338,crash
2015-09-28,662.2461288049029,677.0095775362224,658.7028908112217,667.0126342773438,1121534,0.0113845818012583,0,0.0106299774272071,crash
2015-09-29,660.221348128864,675.7440791577794,659.1668161701283,661.6976928710938,2377821,-0.0080001933383782,0,0.0106657953091817,crash
2015-09-30,674.7317804519696,690.0857774863839,663.9333824960686,687.343994140625,2321962,0.0380260918345012,0,0.0140803002600236,crash
2016-01-01,731.5756276937361,733.2769663627913,726.0462770193068,728.6408081054688,230366,-0.0072122130565084,0,0.0106669952620114,crash
2016-01-04,728.6407035609167,738.9763552607736,724.0471209659912,730.724853515625,828876,0.0028560995803115,0,0.0106164929986246,crash
2016-01-05,729.278749050678,730.7674202614688,719.2408621277779,721.3250122070312,1118709,-0.0129471760406838,0,0.0100691057662187,crash
2016-01-06,723.0690233383006,723.0690233383006,715.3704752974941,717.1568603515625,2135092,-0.0057952256479092,0,0.0099099695702045,crash
2016-01-07,714.5621928337397,715.37033903121,695.4221340971217,697.761474609375,1353969,-0.0274172723867085,0,0.0116818328067468,crash
2016-01-08,696.6981343597981,707.3315002688305,687.0855819621794,688.9144897460938,1324046,-0.012760161898651,0,0.0119778281688885,crash
2016-01-11,685.6394135451956,697.2935926211148,681.6837807756812,690.53076171875,1514504,0.0023433662344602,0,0.0118517646191977,crash
2016-01-12,687.7661335305044,699.3777903194429,684.4059793894677,697.2936401367188,1110037,0.0097460917109932,0,0.011075532206759,crash
2016-01-13,699.0799975110288,711.3296557990228,692.2321202539532,708.3948364257812,1338356,0.0157950033297451,0,0.010329493539821,crash
2016-01-14,705.6303148727901,712.7759590828372,696.3154739306462,703.71630859375,1531002,-0.0066263126203072,0,0.0103821090927763,crash
2016-01-15,703.7163382860159,705.1624868086797,660.6724826961728,684.1509399414062,3249884,-0.0281967384890693,0,0.0115490228256459,crash
