Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,market_regime
2015-08-24,1039.0119767992312,1041.374262460768,1011.4913872909884,1015.2512817382812,4692344,-0.037113193505653,0,crash
2015-08-25,1018.893327643122,1032.3190254231888,998.2627341573208,1010.7237548828124,3925800,-0.0044694868501027,0,crash
2015-08-26,1007.1409184982152,1039.0120729398482,988.9906502039562,1014.5033569335938,3216158,0.0037325260132723,0,crash
2015-08-27,1029.5237626673395,1029.5237626673395,1002.3181548628476,1013.6767578125,5264798,-0.0008151141615586,0,crash
2015-08-28,1027.200767444917,1027.200767444917,1007.0032015092283,1012.1806030273438,2744152,-0.001477058638077,0,crash
2015-08-31,1019.7201023790012,1019.7201023790012,996.5106621302672,1009.5032348632812,3692044,-0.0026486532454859,0,crash
2015-09-01,1006.334113395406,1028.067131361767,996.0975379070334,999.010986328125,2987602,-0.0104478662555038,0,crash
2015-09-02,1007.7908055184356,1031.7089570999192,1003.1843659196724,1020.4290771484376,3765950,0.0212127057815596,0,crash
2015-09-03,1022.121652918432,1029.5628141591062,1014.3063862246262,1025.8619384765625,2265074,0.005309972092883,0,crash
2015-09-04,1028.1456035052445,1029.5236037146487,999.6997420396816,1002.9675903320312,2426396,-0.0225699790778879,0,crash
2015-09-07,1005.152382249191,1007.888676795578,997.1599645291108,999.9356689453124,1759184,-0.0030275288519696,0,crash
2015-09-08,1002.0028426769684,1009.522823874206,993.537985656318,1000.1524047851562,1787746,0.0002167262967454,0,crash
2015-09-09,1009.0699337625026,1013.420495518096,1001.609067831405,1003.8729248046876,2045076,0.0037130511666552,0,crash
2015-09-10,1000.8215053714968,1015.1920738003164,994.9157923185572,1002.1600952148438,2665818,-0.001707678775964,0,crash
2015-09-11,1002.5934215414112,1011.2157258894352,1000.2705457206451,1004.7588500976562,1592672,0.0025897970033916,0,crash
2015-09-14,1009.8771569511456,1009.8771569511456,1001.2154425445468,1004.6210327148438,1589318,-0.0001371740447959,0,crash
2015-09-15,1004.6208010176648,1007.4752289706092,998.459212229961,998.9513549804688,1379900,-0.0056595837544195,0,crash
2015-09-16,1005.939863591032,1009.8770059142844,1000.4475692744224,1004.109130859375,1756816,0.0051499066700273,0,crash
2015-09-18,1009.8774402100686,1018.1454426445372,999.6408657673936,1004.4638671875,2455294,0.0003532222450051,0,crash
2015-09-21,1003.9714074445257,1006.7668172629328,997.3569883593848,1004.3848266601562,1108840,-7.869236506152788e-05,0,crash
2015-09-22,1006.9247221050164,1012.7910290558948,980.348996301658,994.8377075195312,2081246,-0.0095509044652413,0,crash
2015-09-23,997.7902502852988,1007.0228321414932,989.2466685097406,997.1405639648438,1228352,0.0023121311152749,0,crash
2015-09-24,998.2626945276884,1019.7201257451048,996.0578558071418,1015.9404296875,2354254,0.0186782472724145,0,crash
2015-09-28,1021.2948913264988,1031.137748798805,1015.586033992561,1021.1767578125,2366812,0.0051409312039361,0,crash
2015-09-29,1017.101722457726,1037.0433103063424,1011.7865802067256,1019.0308837890624,3325952,-0.0021035847244021,0,crash
2015-09-30,1040.862618975879,1040.862618975879,1012.219899707783,1018.9524536132812,3368336,-7.696841714111002e-05,0,crash
2016-01-01,962.3613991923678,962.3613991923678,951.8065949986836,953.4440307617188,712262,-0.008427488354112,0,crash
2016-01-04,950.977661679419,952.496802402914,933.5770943803014,934.9778442382812,1870184,-0.0195578915823526,0,crash
2016-01-05,941.0543590579608,941.6857128836768,923.693188492531,926.8300170898438,2678020,-0.0087526530894797,0,crash
2016-01-06,927.3235106158904,941.5083611051224,927.3235106158904,939.713134765625,2653228,0.0138044729905804,0,crash
2016-01-07,935.1357522259652,940.225693104389,931.190031752438,935.6289672851562,3199580,-0.0043556574909562,0,crash
2016-01-08,941.0544759621896,949.8732010932612,936.1223246206686,946.026123046875,1907544,0.0110511874688299,0,crash
2016-01-11,940.0679593049368,940.6598174115296,926.7906476461332,932.1173706054688,2930228,-0.0148114420024745,0,crash
2016-01-12,932.2551728805,933.1627076763737,908.1468833476162,918.188720703125,3482594,-0.015055793282408,0,crash
2016-01-13,914.2231262137004,918.1688453600694,889.7991632300898,899.3082885742188,4746092,-0.0207770480267388,0,crash
2016-01-14,896.8622198069095,907.0815968015412,887.787063161261,899.1507568359375,2742052,-0.0001751852388149,0,crash
2016-01-15,903.1162441282784,904.2407166334818,889.7599421625043,892.1668701171875,3269408,-0.0077975251283968,0,crash
2016-01-18,892.5220072258725,904.31967338666,891.7328630992359,898.697021484375,2213922,0.0072927712035459,0,crash
2016-01-19,898.4404265771695,907.5155824011814,895.0076695099496,899.3479614257812,967910,0.0007240530420888,0,crash
2016-01-20,897.178177643354,901.597366475396,885.0253361069203,899.6640014648438,1615954,0.0003513484610806,0,crash
2016-01-21,903.7773550934156,905.715394822278,888.2529519479378,891.7138061523438,2675536,-0.0088761259354406,0,crash
2016-01-22,899.0310755948492,910.5211313115374,893.8892348633344,908.029296875,1343178,0.0181314073841072,0,crash
2016-01-25,910.4616804400462,925.135740429452,906.3482467695976,911.5493774414062,1397560,0.0038691209205961,0,crash
2016-01-27,910.501382069054,921.5563208921444,902.5512662151274,917.52197265625,1626986,0.0065307637589357,0,crash
2016-01-28,915.8409777695044,929.05151511345,912.89432669389,922.0507202148438,3106660,0.0049237050813966,0,crash
2016-01-29,932.9277056045368,949.262958325187,923.573548828316,945.8218994140624,2235744,0.0254540512007128,0,crash
2016-02-01,945.742460722257,954.384647743429,933.0460347647642,950.3305053710938,1495274,0.0047555401586443,0,crash
